Pageable host memory calculations:
103 - 13 = 90
104 - 23 = 81
105 - 15 = 90
106 - 24 = 82
107 - 15 = 92
108 - 9 = 99
109 - 6 = 103
110 - 19 = 91
111 - 11 = 100
112 - 7 = 105
113 - 5 = 108
114 - 19 = 95
115 - 4 = 111
116 - 4 = 112
117 - 19 = 98
118 - 23 = 95
119 - 1 = 118
120 - 0 = 120
121 - 5 = 116
122 - 10 = 112
123 - 17 = 106
124 - 4 = 120
125 - 9 = 116
126 - 18 = 108
127 - 5 = 122
128 - 21 = 107
129 - 17 = 112
130 - 4 = 126
131 - 13 = 118
132 - 11 = 121
133 - 4 = 129
134 - 1 = 133
135 - 9 = 126
136 - 19 = 117
137 - 2 = 135
138 - 2 = 136
139 - 6 = 133
140 - 9 = 131
141 - 21 = 120
142 - 17 = 125
143 - 18 = 125
144 - 3 = 141
145 - 14 = 131
146 - 22 = 124
147 - 8 = 139
148 - 8 = 140
149 - 23 = 126
150 - 11 = 139
151 - 8 = 143
152 - 3 = 149
153 - 23 = 130
154 - 3 = 151
155 - 8 = 147
156 - 8 = 148
157 - 23 = 134
158 - 15 = 143
159 - 4 = 155
160 - 17 = 143
161 - 21 = 140
162 - 18 = 144
163 - 4 = 159
164 - 0 = 164
165 - 21 = 144
166 - 13 = 153
167 - 22 = 145
168 - 24 = 144
169 - 15 = 154
170 - 3 = 167
171 - 8 = 163
172 - 13 = 159
173 - 22 = 151
174 - 3 = 171
175 - 17 = 158
176 - 11 = 165
177 - 0 = 177
178 - 2 = 176
179 - 21 = 158
180 - 0 = 180
181 - 13 = 168
182 - 7 = 175
183 - 4 = 179
184 - 11 = 173
185 - 10 = 175
186 - 14 = 172
187 - 21 = 166
188 - 10 = 178
189 - 4 = 185
190 - 3 = 187
191 - 2 = 189
192 - 0 = 192
193 - 23 = 170
194 - 6 = 188
195 - 2 = 193
196 - 19 = 177
197 - 22 = 175
198 - 24 = 174
199 - 18 = 181
200 - 14 = 186
201 - 2 = 199
202 - 3 = 199
203 - 3 = 200
204 - 0 = 204
205 - 6 = 199
206 - 22 = 184
207 - 13 = 194
208 - 9 = 199
209 - 1 = 208
210 - 10 = 200
211 - 9 = 202
212 - 14 = 198
213 - 17 = 196
214 - 15 = 199
215 - 2 = 213
216 - 4 = 212
217 - 4 = 213
218 - 24 = 194
219 - 14 = 205
220 - 10 = 210
221 - 4 = 217
222 - 18 = 204
223 - 10 = 213
224 - 2 = 222
225 - 0 = 225
226 - 13 = 213
227 - 21 = 206
228 - 24 = 204
229 - 14 = 215
230 - 17 = 213
231 - 13 = 218
232 - 17 = 215
233 - 20 = 213
234 - 18 = 216
235 - 19 = 216
236 - 4 = 232
237 - 15 = 222
238 - 7 = 231
239 - 15 = 224
240 - 16 = 224
241 - 19 = 222
242 - 1 = 241
243 - 7 = 236
244 - 11 = 233
245 - 17 = 228
246 - 10 = 236
247 - 17 = 230
248 - 23 = 225
249 - 11 = 238
250 - 6 = 244
251 - 9 = 242
252 - 15 = 237
253 - 0 = 253
254 - 21 = 233
255 - 17 = 238
0 * 20 = 0
1 * 11 = 11
2 * 19 = 38
3 * 1 = 3
4 * 22 = 88
5 * 15 = 75
6 * 8 = 48
7 * 16 = 112
8 * 7 = 56
9 * 8 = 72
10 * 24 = 240
11 * 12 = 132
12 * 12 = 144
13 * 24 = 312
14 * 0 = 0
15 * 11 = 165
16 * 2 = 32
17 * 24 = 408
18 * 4 = 72
19 * 0 = 0
20 * 18 = 360
21 * 21 = 441
22 * 23 = 506
23 * 6 = 138
24 * 6 = 144
25 * 5 = 125
26 * 8 = 208
27 * 19 = 513
28 * 10 = 280
29 * 13 = 377
30 * 24 = 720
31 * 6 = 186
32 * 24 = 768
33 * 21 = 693
34 * 9 = 306
35 * 23 = 805
36 * 13 = 468
37 * 18 = 666
38 * 15 = 570
39 * 20 = 780
40 * 1 = 40
41 * 16 = 656
42 * 9 = 378
43 * 15 = 645
44 * 15 = 660
45 * 9 = 405
46 * 1 = 46
47 * 17 = 799
48 * 11 = 528
49 * 7 = 343
50 * 20 = 1000
51 * 6 = 306
52 * 4 = 208
53 * 18 = 954
54 * 12 = 648
55 * 12 = 660
56 * 23 = 1288
57 * 22 = 1254
58 * 9 = 522
59 * 9 = 531
60 * 11 = 660
61 * 10 = 610
62 * 17 = 1054
63 * 12 = 756
64 * 6 = 384
65 * 1 = 65
66 * 13 = 858
67 * 22 = 1474
68 * 21 = 1428
69 * 5 = 345
70 * 19 = 1330
71 * 24 = 1704
72 * 21 = 1512
73 * 4 = 292
74 * 14 = 1036
75 * 11 = 825
76 * 15 = 1140
77 * 17 = 1309
78 * 5 = 390
79 * 3 = 237
80 * 2 = 160
81 * 0 = 0
82 * 9 = 738
83 * 8 = 664
84 * 20 = 1680
85 * 24 = 2040
86 * 22 = 1892
87 * 19 = 1653
88 * 21 = 1848
89 * 6 = 534
90 * 5 = 450
91 * 9 = 819
92 * 17 = 1564
93 * 22 = 2046
94 * 22 = 2068
95 * 0 = 0
96 * 0 = 0
97 * 10 = 970
98 * 22 = 2156
99 * 24 = 2376
100 * 15 = 1500
101 * 17 = 1717
102 * 23 = 2346
103 * 13 = 1339
104 * 23 = 2392
105 * 15 = 1575
106 * 24 = 2544
107 * 15 = 1605
108 * 9 = 972
109 * 6 = 654
110 * 19 = 2090
111 * 11 = 1221
112 * 7 = 784
113 * 5 = 565
114 * 19 = 2166
115 * 4 = 460
116 * 4 = 464
117 * 19 = 2223
118 * 23 = 2714
119 * 1 = 119
120 * 0 = 0
121 * 5 = 605
122 * 10 = 1220
123 * 17 = 2091
124 * 4 = 496
125 * 9 = 1125
126 * 18 = 2268
127 * 5 = 635
128 * 21 = 2688
129 * 17 = 2193
130 * 4 = 520
131 * 13 = 1703
132 * 11 = 1452
133 * 4 = 532
134 * 1 = 134
135 * 9 = 1215
136 * 19 = 2584
137 * 2 = 274
138 * 2 = 276
139 * 6 = 834
140 * 9 = 1260
141 * 21 = 2961
142 * 17 = 2414
143 * 18 = 2574
144 * 3 = 432
145 * 14 = 2030
146 * 22 = 3212
147 * 8 = 1176
148 * 8 = 1184
149 * 23 = 3427
150 * 11 = 1650
151 * 8 = 1208
152 * 3 = 456
153 * 23 = 3519
154 * 3 = 462
155 * 8 = 1240
156 * 8 = 1248
157 * 23 = 3611
158 * 15 = 2370
159 * 4 = 636
160 * 17 = 2720
161 * 21 = 3381
162 * 18 = 2916
163 * 4 = 652
164 * 0 = 0
165 * 21 = 3465
166 * 13 = 2158
167 * 22 = 3674
168 * 24 = 4032
169 * 15 = 2535
170 * 3 = 510
171 * 8 = 1368
172 * 13 = 2236
173 * 22 = 3806
174 * 3 = 522
175 * 17 = 2975
176 * 11 = 1936
177 * 0 = 0
178 * 2 = 356
179 * 21 = 3759
180 * 0 = 0
181 * 13 = 2353
182 * 7 = 1274
183 * 4 = 732
184 * 11 = 2024
185 * 10 = 1850
186 * 14 = 2604
187 * 21 = 3927
188 * 10 = 1880
189 * 4 = 756
190 * 3 = 570
191 * 2 = 382
192 * 0 = 0
193 * 23 = 4439
194 * 6 = 1164
195 * 2 = 390
196 * 19 = 3724
197 * 22 = 4334
198 * 24 = 4752
199 * 18 = 3582
200 * 14 = 2800
201 * 2 = 402
202 * 3 = 606
203 * 3 = 609
204 * 0 = 0
205 * 6 = 1230
206 * 22 = 4532
207 * 13 = 2691
208 * 9 = 1872
209 * 1 = 209
210 * 10 = 2100
211 * 9 = 1899
212 * 14 = 2968
213 * 17 = 3621
214 * 15 = 3210
215 * 2 = 430
216 * 4 = 864
217 * 4 = 868
218 * 24 = 5232
219 * 14 = 3066
220 * 10 = 2200
221 * 4 = 884
222 * 18 = 3996
223 * 10 = 2230
224 * 2 = 448
225 * 0 = 0
226 * 13 = 2938
227 * 21 = 4767
228 * 24 = 5472
229 * 14 = 3206
230 * 17 = 3910
231 * 13 = 3003
232 * 17 = 3944
233 * 20 = 4660
234 * 18 = 4212
235 * 19 = 4465
236 * 4 = 944
237 * 15 = 3555
238 * 7 = 1666
239 * 15 = 3585
240 * 16 = 3840
241 * 19 = 4579
242 * 1 = 242
243 * 7 = 1701
244 * 11 = 2684
245 * 17 = 4165
246 * 10 = 2460
247 * 17 = 4199
248 * 23 = 5704
249 * 11 = 2739
250 * 6 = 1500
251 * 9 = 2259
252 * 15 = 3780
253 * 0 = 0
254 * 21 = 5334
255 * 17 = 4335
0 % 20 = 0
1 % 11 = 1
2 % 19 = 2
3 % 1 = 0
4 % 22 = 4
5 % 15 = 5
6 % 8 = 6
7 % 16 = 7
8 % 7 = 1
9 % 8 = 1
10 % 24 = 10
11 % 12 = 11
12 % 12 = 0
13 % 24 = 13
14 % 0 = -1
15 % 11 = 4
16 % 2 = 0
17 % 24 = 17
18 % 4 = 2
19 % 0 = -1
20 % 18 = 2
21 % 21 = 0
22 % 23 = 22
23 % 6 = 5
24 % 6 = 0
25 % 5 = 0
26 % 8 = 2
27 % 19 = 8
28 % 10 = 8
29 % 13 = 3
30 % 24 = 6
31 % 6 = 1
32 % 24 = 8
33 % 21 = 12
34 % 9 = 7
35 % 23 = 12
36 % 13 = 10
37 % 18 = 1
38 % 15 = 8
39 % 20 = 19
40 % 1 = 0
41 % 16 = 9
42 % 9 = 6
43 % 15 = 13
44 % 15 = 14
45 % 9 = 0
46 % 1 = 0
47 % 17 = 13
48 % 11 = 4
49 % 7 = 0
50 % 20 = 10
51 % 6 = 3
52 % 4 = 0
53 % 18 = 17
54 % 12 = 6
55 % 12 = 7
56 % 23 = 10
57 % 22 = 13
58 % 9 = 4
59 % 9 = 5
60 % 11 = 5
61 % 10 = 1
62 % 17 = 11
63 % 12 = 3
64 % 6 = 4
65 % 1 = 0
66 % 13 = 1
67 % 22 = 1
68 % 21 = 5
69 % 5 = 4
70 % 19 = 13
71 % 24 = 23
72 % 21 = 9
73 % 4 = 1
74 % 14 = 4
75 % 11 = 9
76 % 15 = 1
77 % 17 = 9
78 % 5 = 3
79 % 3 = 1
80 % 2 = 0
81 % 0 = -1
82 % 9 = 1
83 % 8 = 3
84 % 20 = 4
85 % 24 = 13
86 % 22 = 20
87 % 19 = 11
88 % 21 = 4
89 % 6 = 5
90 % 5 = 0
91 % 9 = 1
92 % 17 = 7
93 % 22 = 5
94 % 22 = 6
95 % 0 = -1
96 % 0 = -1
97 % 10 = 7
98 % 22 = 10
99 % 24 = 3
100 % 15 = 10
101 % 17 = 16
102 % 23 = 10
103 % 13 = 12
104 % 23 = 12
105 % 15 = 0
106 % 24 = 10
107 % 15 = 2
108 % 9 = 0
109 % 6 = 1
110 % 19 = 15
111 % 11 = 1
112 % 7 = 0
113 % 5 = 3
114 % 19 = 0
115 % 4 = 3
116 % 4 = 0
117 % 19 = 3
118 % 23 = 3
119 % 1 = 0
120 % 0 = -1
121 % 5 = 1
122 % 10 = 2
123 % 17 = 4
124 % 4 = 0
125 % 9 = 8
126 % 18 = 0
127 % 5 = 2
128 % 21 = 2
129 % 17 = 10
130 % 4 = 2
131 % 13 = 1
132 % 11 = 0
133 % 4 = 1
134 % 1 = 0
135 % 9 = 0
136 % 19 = 3
137 % 2 = 1
138 % 2 = 0
139 % 6 = 1
140 % 9 = 5
141 % 21 = 15
142 % 17 = 6
143 % 18 = 17
144 % 3 = 0
145 % 14 = 5
146 % 22 = 14
147 % 8 = 3
148 % 8 = 4
149 % 23 = 11
150 % 11 = 7
151 % 8 = 7
152 % 3 = 2
153 % 23 = 15
154 % 3 = 1
155 % 8 = 3
156 % 8 = 4
157 % 23 = 19
158 % 15 = 8
159 % 4 = 3
160 % 17 = 7
161 % 21 = 14
162 % 18 = 0
163 % 4 = 3
164 % 0 = -1
165 % 21 = 18
166 % 13 = 10
167 % 22 = 13
168 % 24 = 0
169 % 15 = 4
170 % 3 = 2
171 % 8 = 3
172 % 13 = 3
173 % 22 = 19
174 % 3 = 0
175 % 17 = 5
176 % 11 = 0
177 % 0 = -1
178 % 2 = 0
179 % 21 = 11
180 % 0 = -1
181 % 13 = 12
182 % 7 = 0
183 % 4 = 3
184 % 11 = 8
185 % 10 = 5
186 % 14 = 4
187 % 21 = 19
188 % 10 = 8
189 % 4 = 1
190 % 3 = 1
191 % 2 = 1
192 % 0 = -1
193 % 23 = 9
194 % 6 = 2
195 % 2 = 1
196 % 19 = 6
197 % 22 = 21
198 % 24 = 6
199 % 18 = 1
200 % 14 = 4
201 % 2 = 1
202 % 3 = 1
203 % 3 = 2
204 % 0 = -1
205 % 6 = 1
206 % 22 = 8
207 % 13 = 12
208 % 9 = 1
209 % 1 = 0
210 % 10 = 0
211 % 9 = 4
212 % 14 = 2
213 % 17 = 9
214 % 15 = 4
215 % 2 = 1
216 % 4 = 0
217 % 4 = 1
218 % 24 = 2
219 % 14 = 9
220 % 10 = 0
221 % 4 = 1
222 % 18 = 6
223 % 10 = 3
224 % 2 = 0
225 % 0 = -1
226 % 13 = 5
227 % 21 = 17
228 % 24 = 12
229 % 14 = 5
230 % 17 = 9
231 % 13 = 10
232 % 17 = 11
233 % 20 = 13
234 % 18 = 0
235 % 19 = 7
236 % 4 = 0
237 % 15 = 12
238 % 7 = 0
239 % 15 = 14
240 % 16 = 0
241 % 19 = 13
242 % 1 = 0
243 % 7 = 5
244 % 11 = 2
245 % 17 = 7
246 % 10 = 6
247 % 17 = 9
248 % 23 = 18
249 % 11 = 7
250 % 6 = 4
251 % 9 = 8
252 % 15 = 12
253 % 0 = -1
254 % 21 = 2
255 % 17 = 0
Time taken for pageable host memory: 17.3692 ms
Time taken for pinned host memory: 17.2166 ms
